source,target
337,1244
414,1244
445,1244
446,1244
477,1244
515,1244
623,1244
691,1244
791,1244
939,1244
964,1244
1039,1244
1226,1244
1244,6699
1244,4183
1244,4765
1244,1835
1244,7716
1244,7315
1244,1292
1244,2746
1244,7545
1244,3089
1244,6154
1244,6442
1244,1300
1244,4263
1244,4616
1244,4695
1244,5391
1244,4151
1244,7393
1244,2952
1244,7654
1244,6085
1244,8128
1244,8172
1244,8641
1244,5877
1244,4215
1244,1957
1244,1643
1244,4322
1244,6439
1244,7213
1244,2996
1244,7690
1244,6634
1244,5310
1244,2982
1244,3918
1244,1494
1244,8747
1244,8001
1244,3288
1244,9242
1244,3083
1244,4569
1244,7028
1244,1428
1244,6058
1244,9341
1244,5663
1244,7492
1244,4637
1244,4807
1244,9182
1244,6585
1244,7822
1244,2101
1244,4776
1244,2093
1244,4375
1244,2652
1244,2994
1244,9114
1244,8007
1244,5731
1244,1780
1244,4168
414,2982
445,2982
477,2982
492,2982
515,2982
691,2982
791,2982
939,2982
1039,2982
1070,2982
1226,2982
1244,2982
1428,2982
1492,2982
1494,2982
1643,2982
1651,2982
1823,2982
1829,2982
1957,2982
1989,2982
2093,2982
2101,2982
2461,2982
2500,2982
2535,2982
2982,4238
2982,8876
2982,8950
2982,5951
2982,3900
2982,4787
2982,6614
2982,3340
2982,3300
2982,7983
2982,5775
2982,9184
2982,5903
2982,4413
2982,7654
2982,6085
2982,8128
2982,8172
2982,8641
2982,5877
2982,4215
2982,4322
2982,6439
2982,7213
2982,2996
2982,7690
2982,6634
2982,5310
2982,3918
2982,8747
2982,8001
2982,3288
2982,9242
2982,3083
2982,4569
2982,7028
2982,6058
2982,9341
2982,5663
2982,7492
2982,4637
2982,4807
2982,9182
2982,6585
2982,7822
2982,4776
2982,3609
2982,3691
2982,7444
2982,6461
2982,5007
2982,5960
2982,7019
2982,4396
2982,3501
2982,9191
471,7545
1038,7545
1244,7545
1261,7545
1292,7545
1853,7545
2694,7545
2746,7545
3089,7545
3120,7545
3286,7545
3426,7545
4301,7545
4852,7545
5605,7545
6154,7545
6359,7545
6442,7545
6631,7545
7315,7545
7545,7760
7545,7766
7545,7720
414,4322
445,4322
477,4322
515,4322
691,4322
791,4322
891,4322
939,4322
1035,4322
1039,4322
1226,4322
1244,4322
1428,4322
1494,4322
1643,4322
1957,4322
2093,4322
2101,4322
2931,4322
2982,4322
2996,4322
3083,4322
3163,4322
3288,4322
3503,4322
3909,4322
3918,4322
3961,4322
4215,4322
4322,8769
4322,6343
4322,8950
4322,9482
4322,5763
4322,5036
4322,4859
4322,6624
4322,4853
4322,5937
4322,7654
4322,6085
4322,8128
4322,8172
4322,8641
4322,5877
4322,6439
4322,7213
4322,7690
4322,6634
4322,5310
4322,8747
4322,8001
4322,9242
4322,4569
4322,7028
4322,6058
4322,9341
4322,5663
4322,7492
4322,4637
4322,4807
4322,9182
4322,6585
4322,7822
4322,4776
4322,5866
4322,7506
271,5007
492,5007
705,5007
1070,5007
1651,5007
1829,5007
1989,5007
2206,5007
2461,5007
2500,5007
2535,5007
2982,5007
3300,5007
3340,5007
3501,5007
3609,5007
3691,5007
3900,5007
4238,5007
4396,5007
4787,5007
4872,5007
5007,7613
5007,7300
5007,7658
5007,8803
5007,6195
5007,8047
5007,8593
5007,5091
5007,5334
5007,8374
5007,7978
5007,6995
5007,8474
5007,8299
5007,8328
5007,8251
5007,8876
5007,7444
5007,6614
5007,6461
5007,7983
5007,5960
5007,9184
5007,7019
5007,9191
180,5310
414,5310
445,5310
477,5310
515,5310
