source,target
433,2541
648,2541
1032,2541
1788,2541
2497,2541
2541,7162
2541,4546
2541,6196
2541,6848
2541,5320
2541,4651
2541,3294
2541,8966
2541,6105
2541,4410
2541,2907
2541,8945
2541,6213
2541,4423
2541,4459
2541,5770
2541,8078
2541,7211
508,1178
763,1178
872,1178
907,1178
1036,1178
1083,1178
1178,7591
1178,8461
1178,4136
1178,4733
1178,3822
1178,1743
1178,4257
1178,4895
1178,8301
1178,8668
1178,5106
1178,4706
1178,1695
1178,1253
1178,5327
1178,7922
1178,7790
1178,3384
1178,4673
1178,8405
1178,7932
1178,1501
1178,3939
433,4651
648,4651
1417,4651
2443,4651
2541,4651
3016,4651
3216,4651
3294,4651
3654,4651
4651,9243
4651,5933
4651,6601
4651,5084
4651,4795
4651,5449
4651,8966
4651,8884
4651,6194
2443,9243
2477,9243
2509,9243
2980,9243
3000,9243
3016,9243
3216,9243
3551,9243
3654,9243
4651,9243
4795,9243
5084,9243
5116,9243
5449,9243
5933,9243
6515,9243
6574,9243
6601,9243
7261,9243
8558,9243
8722,9243
9213,9243
998,6601
2443,6601
2605,6601
3016,6601
3216,6601
3358,6601
3508,6601
3654,6601
4651,6601
4795,6601
5084,6601
5449,6601
5933,6601
6601,9243
6601,7282
6601,7424
6601,8218
6601,8025
79,6574
863,6574
1869,6574
2477,6574
2509,6574
2606,6574
2885,6574
2980,6574
3000,6574
3551,6574
4030,6574
5116,6574
6515,6574
6574,7261
6574,9243
6574,9213
6574,8558
6574,8722
6574,6880
6574,6680
6574,7037
193,2676
606,2676
746,2676
1649,2676
2251,2676
2367,2676
2566,2676
2676,3319
2676,3708
2676,4249
2676,5735
2676,4517
2676,8971
2676,3884
2676,8267
2676,9022
2676,4884
2676,6788
2676,4131
2676,4634
2676,3583
2676,9200
2676,7783
2676,3476
2676,4017
2676,8725
2676,6855
2676,9334
2676,3885
2676,3203
2676,5227
2676,5649
193,2251
355,2251
424,2251
442,2251
746,2251
1412,2251
2075,2251
2251,9022
2251,4884
2251,6788
2251,4131
2251,4634
2251,3583
2251,9200
2251,7783
2251,3476
2251,4017
2251,8725
2251,2566
2251,6855
2251,9334
2251,3885
2251,3203
2251,2367
2251,5227
2251,5649
2251,2676
2251,7051
2251,2807
2251,2929
2251,4241
2251,5812
2251,3515
508,3384
1083,3384
1128,3384
1178,3384
1501,3384
1552,3384
1886,3384
3210,3384
3384,8133
3384,9205
3384,5640
3384,6755
3384,6173
3384,3645
3384,3458
3384,5136
3384,8759
3384,7922
3384,7790
3384,4673
3384,8405
3384,7932
3384,3939
290,7583
1325,7583
1746,7583
2001,7583
2779,7583
2785,7583
3349,7583
3622,7583
3856,7583
4099,7583
4319,7583
5888,7583
6811,7583
7328,7583
7583,8850
7583,9036
7583,7862
7583,8625
7583,8191
7583,8405
7583,7932
7583,9477
290,3856
1325,3856
1746,3856
2001,3856
2779,3856
2785,3856
3349,3856
3622,3856
3856,7328
3856,6811
3856,5888
3856,7583
3856,8850
3856,9036
3856,7862
3856,8625
3856,8191
3856,8405
3856,7932
3856,4319
3856,4099
3856,9477
1325,7328
2001,7328
2785,7328
3134,7328
3349,7328
3622,7328
3856,7328
5560,7328
5888,7328
6312,7328
6313,7328
6811,7328
7328,8471
7328,7375
7328,7583
7328,8850
7328,9036
7328,7862
2477,8558
2509,8558
2980,8558
3000,8558
3333,8558
3551,8558
3708,8558
3891,8558
4280,8558
4319,8558
4477,8558
5116,8558
5511,8558
6515,8558
6574,8558
7261,8558
8558,8882
8558,9243
8558,9213
8558,8722
35,7239
153,7239
1144,7239
2182,7239
2499,7239
3976,7239
4250,7239
4519,7239
4598,7239
4680,7239
5189,7239
6196,7239
7239,7565
7239,7575
7239,7362
243,4280
542,4280
1106,4280
1293,4280
2381,4280
3333,4280
3708,4280
3891,4280
4280,8882
4280,5511
4280,4477
4280,8558
4280,4319
4280,6008
4280,6315
4280,4456
290,8405
508,8405
1083,8405
1178,8405
1501,8405
1746,8405
2779,8405
3384,8405
3856,8405
3939,8405
4099,8405
4319,8405
4673,8405
7583,8405
7790,8405
7922,8405
7932,8405
8191,8405
8405,8625
8405,9477
290,7932
508,7932
1083,7932
1178,7932
1501,7932
1746,7932
2779,7932
3384,7932
3856,7932
3939,7932
4099,7932
4319,7932
4673,7932
7583,7932
7790,7932
7922,7932
7932,8625
7932,8191
7932,8405
7932,9477
290,4319
1746,4319
2779,4319
3333,4319
3708,4319
3856,4319
3891,4319
4099,4319
4280,4319
4319,8882
4319,5511
4319,4477
4319,8558
4319,8625
4319,7583
4319,8191
4319,8405
4319,7932
4319,9477
1788,6196
2497,6196
2541,6196
3976,6196
4519,6196
4546,6196
5189,6196
5320,6196
6196,7162
6196,6848
6196,7239
6196,7362
1810,6313
3134,6313
4957,6313
5560,6313
6312,6313
6313,7328
6313,8471
6313,7375
6313,8528
6313,6714
6313,6475
606,3708
1649,3708
2676,3708
3319,3708
3333,3708
3708,8882
3708,5511
3708,4280
3708,4477
3708,3891
3708,8558
3708,4319
3708,4249
3708,5735
3708,4517
3708,8971
3708,3884
3708,8267
606,4249
1649,4249
1682,4249
1807,4249
2676,4249
3319,4249
3708,4249
3884,4249
4249,6143
4249,5098
4249,8267
4249,5735
4249,4517
4249,8971
606,8267
1649,8267
1682,8267
1807,8267
2676,8267
3319,8267
3708,8267
3884,8267
4249,8267
4517,8267
5098,8267
5735,8267
6143,8267
8267,8971
35,4250
35,7239
35,2182
35,1144
35,4680
35,2499
35,7565
35,4598
35,7575
35,153
35,4250
153,4250
1144,4250
2182,4250
2499,4250
4250,7239
4250,4680
4250,7565
4250,4598
4250,7575
35,2182
153,2182
1144,2182
2182,4250
2182,7239
2182,4680
2182,2499
2182,7565
2182,4598
2182,7575
35,1144
153,1144
1144,4250
1144,7239
1144,2182
1144,4680
1144,2499
1144,7565
1144,4598
1144,7575
35,4680
153,4680
1144,4680
2182,4680
2499,4680
4250,4680
4598,4680
4680,7239
4680,7565
4680,7575
35,2499
153,2499
1144,2499
2182,2499
2499,4250
2499,7239
2499,4680
2499,7565
2499,4598
2499,7575
35,7565
153,7565
1144,7565
2182,7565
2499,7565
4250,7565
4598,7565
4680,7565
7239,7565
7565,7575
35,4598
153,4598
1144,4598
2182,4598
2499,4598
4250,4598
4598,7239
4598,4680
4598,7565
4598,7575
35,7575
153,7575
1144,7575
2182,7575
2499,7575
4250,7575
4598,7575
4680,7575
7239,7575
7565,7575
35,153
153,4250
153,7239
153,2182
153,1144
153,4680
153,2499
153,7565
153,4598
153,7575
2443,9243
2443,5933
2443,4651
2443,3654
2443,6601
2443,5084
2443,3216
2443,4795
2443,5449
2443,3016
2443,5933
3016,5933
3216,5933
3654,5933
4651,5933
4795,5933
5084,5933
5449,5933
5933,9243
5933,6601
2443,3654
3016,3654
3216,3654
3654,9243
3654,5933
3654,4651
3654,6601
3654,5084
3654,4795
3654,5449
2443,5084
3016,5084
3216,5084
3654,5084
4651,5084
4795,5084
5084,9243
5084,5933
5084,6601
5084,5449
2443,3216
3016,3216
3216,9243
3216,5933
3216,4651
3216,3654
3216,6601
3216,5084
3216,4795
3216,5449
2443,4795
3016,4795
3216,4795
3654,4795
4651,4795
4795,9243
4795,5933
4795,6601
4795,5084
4795,5449
2443,5449
3016,5449
3216,5449
3654,5449
4651,5449
4795,5449
5084,5449
5449,9243
5449,5933
5449,6601
2443,3016
3016,9243
3016,5933
3016,4651
3016,3654
3016,6601
3016,5084
3016,3216
3016,4795
3016,5449
2477,7261
2477,9243
2477,6515
2477,5116
2477,3551
2477,2980
2477,9213
2477,2509
2477,8558
2477,8722
2477,3000
2477,6574
2477,7261
2509,7261
2980,7261
3000,7261
3551,7261
5116,7261
6515,7261
6574,7261
7261,9243
7261,9213
7261,8558
7261,8722
2477,6515
2509,6515
2980,6515
3000,6515
3551,6515
5116,6515
6515,7261
6515,9243
6515,9213
6515,8558
6515,8722
6515,6574
2477,5116
2509,5116
2980,5116
3000,5116
3551,5116
5116,7261
5116,9243
5116,6515
5116,9213
5116,8558
5116,8722
5116,6574
2477,3551
2509,3551
2980,3551
3000,3551
3551,7261
3551,9243
3551,6515
3551,5116
3551,9213
3551,8558
3551,8722
3551,6574
2477,2980
2509,2980
2980,7261
2980,9243
2980,6515
2980,5116
2980,3551
2980,9213
2980,8558
2980,8722
2980,3000
2980,6574
2477,9213
2509,9213
2980,9213
3000,9213
3551,9213
5116,9213
6515,9213
6574,9213
7261,9213
8558,9213
8722,9213
9213,9243
2477,2509
2509,7261
2509,9243
2509,6515
2509,5116
2509,3551
2509,2980
2509,9213
2509,8558
2509,8722
2509,3000
2509,6574
2477,8722
2509,8722
2980,8722
3000,8722
3551,8722
5116,8722
6515,8722
6574,8722
7261,8722
8558,8722
8722,9243
8722,9213
2477,3000
2509,3000
2980,3000
3000,7261
3000,9243
3000,6515
3000,5116
3000,3551
3000,9213
3000,8558
3000,8722
3000,6574
1128,3384
1128,8133
1128,3210
1128,1552
1128,9205
1128,5640
1128,1886
1128,6755
1128,6173
1128,3645
1128,3458
1128,5136
1128,8759
1128,8133
1552,8133
1886,8133
3210,8133
3384,8133
3458,8133
3645,8133
5136,8133
5640,8133
6173,8133
6755,8133
8133,9205
8133,8759
1128,3210
1552,3210
1886,3210
3210,3384
3210,8133
3210,9205
3210,5640
3210,6755
3210,6173
3210,3645
3210,3458
3210,5136
3210,8759
1128,1552
1552,3384
1552,8133
1552,3210
1552,9205
1552,5640
1552,1886
1552,6755
1552,6173
1552,3645
1552,3458
1552,5136
1552,8759
1128,9205
1552,9205
1886,9205
3210,9205
3384,9205
3458,9205
3645,9205
5136,9205
5640,9205
6173,9205
6755,9205
8133,9205
8759,9205
1128,5640
1552,5640
1886,5640
3210,5640
3384,5640
3458,5640
3645,5640
5136,5640
5640,8133
5640,9205
5640,6755
5640,6173
5640,8759
1128,1886
1552,1886
1886,3384
