source,target
153,1956
1068,1956
1082,1956
1956,5623
1956,6182
1956,4095
1956,5308
1956,8420
1956,2877
1956,2540
1956,1956
1956,3331
1956,6395
23,2062
23,4878
23,2756
23,4726
23,3087
23,3805
23,2031
23,6514
23,1531
23,7695
23,4440
23,6182
23,3864
23,7568
23,1135
23,6182
1082,6182
1135,6182
1956,6182
3864,6182
4095,6182
4440,6182
5308,6182
5623,6182
6182,8420
6182,7568
6182,6182
23,2062
1531,2062
2031,2062
2062,4878
2062,2756
2062,4726
2062,3087
2062,3805
2062,6514
2062,7695
23,4878
1531,4878
2031,4878
2062,4878
2756,4878
3087,4878
3805,4878
4726,4878
4878,6514
4878,7695
23,2756
1531,2756
2031,2756
2062,2756
2756,4878
2756,4726
2756,3087
2756,3805
2756,6514
2756,7695
23,4726
1531,4726
2031,4726
2062,4726
2756,4726
3087,4726
3805,4726
4726,4878
4726,6514
4726,7695
23,3087
1531,3087
2031,3087
2062,3087
2756,3087
3087,4878
3087,4726
3087,3805
3087,6514
3087,7695
23,3805
1531,3805
2031,3805
2062,3805
2756,3805
3087,3805
3805,4878
3805,4726
3805,6514
3805,7695
23,2031
1531,2031
2031,2062
2031,6514
2031,7695
2031,4878
2031,2756
2031,4726
2031,3087
2031,3805
23,6514
1531,6514
2031,6514
2062,6514
2756,6514
3087,6514
3805,6514
4726,6514
4878,6514
6514,7695
23,1531
1531,2062
1531,2031
1531,6514
1531,7695
1531,4878
1531,2756
1531,4726
1531,3087
1531,3805
23,7695
1531,7695
2031,7695
2062,7695
2756,7695
3087,7695
3805,7695
4726,7695
4878,7695
6514,7695
153,2540
153,1956
153,1068
153,9146
153,1414
1082,5308
1956,5308
4095,5308
5308,5623
5308,6182
5308,8420
5308,5308
5308,5876
1082,5623
1082,6182
1082,4095
1082,1956
1082,5308
1082,8420
1082,5876
1082,5623
1956,5623
4095,5623
5308,5623
5623,6182
5623,8420
5623,5876
1082,4095
1956,4095
4095,5623
4095,6182
4095,5308
4095,8420
1082,8420
1956,8420
4095,8420
5308,8420
5623,8420
6182,8420
23,1135
1135,4440
1135,6182
1135,3864
1135,7568
1135,1135
23,4440
1135,4440
3864,4440
4440,6182
4440,7568
23,3864
1135,3864
3864,4440
3864,6182
3864,7568
23,7568
1135,7568
3864,7568
4440,7568
6182,7568
153,9146
1414,9146
153,1414
1414,9146
1082,5876
5308,5876
5623,5876
1956,3331
3331,6395
1956,6395
3331,6395
153,2540
1956,2540
153,1068
1068,1956
1068,1068
